Gene,Ensembl ID,Probe sets
TAP1,ENSG00000168394,7
GAD2,ENSG00000136750,8
PTPRN,ENSG00000054356,8
SLC30A8,ENSG00000164756,8
GATA4,ENSG00000136574,8
GATA6,ENSG00000141448,8
GLIS3,ENSG00000107249,8
HNF1A,ENSG00000135100,8
HNF1B,ENSG00000275410,8
HNF4A,ENSG00000101076,8
TMEM173,ENSG00000184584,8
TNFAIP3,ENSG00000118503,8
ADA2,ENSG00000093072,8
DNASE1,ENSG00000213918,7
DNASE1L3,ENSG00000163687,7
SAMHD1,ENSG00000101347,8
RNASEH2A,ENSG00000104889,8
RNASEH2B,ENSG00000136104,7
RNASEH2C,ENSG00000172922,8
ADAR,ENSG00000160710,8
NLRP3,ENSG00000162711,8
USP18,ENSG00000184979,7
NLRC4,ENSG00000091106,8
XIAP,ENSG00000101966,8
PMVK,ENSG00000163344,7
PIK3CD,ENSG00000171608,7
CBL,ENSG00000110395,7
RIPK1,ENSG00000137275,6
ELF4,ENSG00000102034,8
IRF9,ENSG00000213928,8
TYK2,ENSG00000105397,8
IAPP,ENSG00000121351,6
CFTR,ENSG00000001626,7
PPIL2,ENSG00000100023,8
CA2,ENSG00000104267,7
LTF,ENSG00000012223,8
CPE,ENSG00000109472,8
PCSK1,ENSG00000175426,7
PCSK2,ENSG00000125851,7
SCG5,ENSG00000166922,7
PCSK1N,ENSG00000102109,6
INSR,ENSG00000171105,6
GLP1R,ENSG00000112164,8
IGF1R,ENSG00000140443,8
IGF2R,ENSG00000197081,8
DDIT3,ENSG00000175197,8
ATF4,ENSG00000128272,6
ATF6,ENSG00000118217,6
DNAJB11,ENSG00000090520,7
DNAJB9,ENSG00000128590,8
DNAJC3,ENSG00000102580,8
EDEM1,ENSG00000134109,8
EIF2AK1,ENSG00000086232,8
EIF2AK2,ENSG00000055332,8
EIF2AK3,ENSG00000172071,8
EIF2AK4,ENSG00000128829,8
EIF2S1,ENSG00000134001,8
TRAF3,ENSG00000131323,8
CARD11,ENSG00000198286,8
ARHGEF4,ENSG00000136002,8
PTPN11,ENSG00000179295,7
PARP4,ENSG00000102699,7
CUZD1,ENSG00000138161,8
HHEX,ENSG00000152804,7
GHRL,ENSG00000157017,7
CHGA,ENSG00000100604,8
G6PC2,ENSG00000152254,8
SYT16,ENSG00000139973,7
NEUROD1,ENSG00000162992,7
ISL1,ENSG00000016082,7
PAX6,ENSG00000007372,8
NKX2-2,ENSG00000125820,6
COL1A1,ENSG00000108821,8
NKX6-1,ENSG00000163623,7
PDX1,ENSG00000139515,8
MAFA,ENSG00000182759,8
ARX,ENSG00000004848,8
RBP4,ENSG00000138207,8
TLR3,ENSG00000164342,7
TLR4,ENSG00000136869,8
TLR7,ENSG00000196664,7
TLR8,ENSG00000101916,8
TLR9,ENSG00000239732,8
MAVS,ENSG00000088888,8
ICA1,ENSG00000003147,7
MLH1,ENSG00000076242,6
MTIF3,ENSG00000122033,8
ITGAL,ENSG00000005844,8
BACH2,ENSG00000112182,8
ICAM2,ENSG00000108622,8
PTPN22,ENSG00000134242,7
PTPN2,ENSG00000175354,8
SH2B3,ENSG00000111252,7
FAP,ENSG00000078098,7
