gene,category,rationale,exclude_recommended,gene_id,full_name,location,cell_type,cellchat_pathway,detection_pct_0041323,detection_pct_0041326,det_max,n_cells_0041323,n_cells_0041326,log2_detection_ratio,pathway_source,pathway_term,was_uncategorized
ABCC1,,,no,ENSG00000103222,Multidrug resistance-associated protein 1,Cell membrane,,,6.524,7.135,7.135,74719,83365,0.129,curated,reactive_oxygen_species,True
ANPEP,,,no,ENSG00000166825,Aminopeptidase N (AP-N) (hAPN),Cell membrane,intestinal crypt stem cell of small intestine;ciliated epithelial cell;enterocyte;enterocyte of epithelium of large intestine;enterocyte of colon;enterocyte of epithelium of small intestine;enterocyte of epithelium proper of ileum;intrahepatic cholangiocyte;columnar/cuboidal epithelial cell;pancreatic acinar cell;enteroendocrine cell of small intestine;M cell of gut;intestinal epithelial cell;epithelial cell of large intestine;colon epithelial cell;epithelial cell of small intestine;respiratory epithelial cell;epithelial cell of lower respiratory tract;club cell;transit amplifying cell of small intestine,,59.817,58.898,59.817,685081,688203,-0.022,curated,reactive_oxygen_species,False
CAT,,,no,ENSG00000121691,Catalase,Peroxisome,"hematopoietic stem cell;epithelial cell of alveolus of lung;pneumocyte;type II pneumocyte;erythrocyte;enucleate erythrocyte;erythroid lineage cell;erythroid progenitor cell, mammalian;reticulocyte;enucleated reticulocyte;primitive red blood cell;common myeloid progenitor;lung secretory cell",,11.301,8.698,11.301,129427,101630,-0.378,curated,reactive_oxygen_species,False
ERCC2,,,no,ENSG00000104884,General transcription and DNA repair factor IIH helicase subunit XPD (TFIIH subunit XPD),Nucleus,,,2.526,3.063,3.063,28928,35787,0.278,curated,reactive_oxygen_species,True
FES,,,no,ENSG00000182511,Tyrosine-protein kinase Fes/Fps,Cytoplasm,,,1.706,2.207,2.207,19539,25789,0.371,curated,reactive_oxygen_species,True
G6PD,,,no,ENSG00000160211,Glucose-6-phosphate 1-dehydrogenase (G6PD),Cytoplasm,Sertoli cell;mesothelial cell,,3.457,3.789,3.789,39591,44272,0.132,curated,reactive_oxygen_species,True
GCLM,,,no,ENSG00000023909,Glutamate--cysteine ligase regulatory subunit (GCS light chain) (Gamma-ECS regulatory subunit) (Gamma-glutamylcysteine synthetase regulatory subunit) (Glutamate--cysteine ligase modifier subunit),,myoepithelial cell;myoepithelial cell of mammary gland;type EC enteroendocrine cell;intestinal enteroendocrine cell;enteroendocrine cell of small intestine;alternatively activated macrophage;erythroid lineage cell,,5.397,4.686,5.397,61812,54757,-0.204,curated,reactive_oxygen_species,False
GGT1,,,no,ENSG00000286070,Glutathione hydrolase 1 proenzyme,Cell membrane,,,3.597,3.886,3.886,41191,45408,0.112,curated,reactive_oxygen_species,True
GSR,,,no,ENSG00000104687,"Glutathione reductase, mitochondrial (GR) (GRase)",Cytoplasm,,,19.509,19.18,19.509,223437,224109,-0.025,curated,reactive_oxygen_species,True
GSS,,,no,ENSG00000100983,Glutathione synthetase (GSH synthetase) (GSH-S),,,,3.757,3.087,3.757,43025,36069,-0.283,curated,reactive_oxygen_species,True
GSTM1,,,no,ENSG00000134184,Glutathione S-transferase Mu 1,Cytoplasm,,,0.943,4.705,4.705,10802,54980,2.319,curated,reactive_oxygen_species,True
GSTM3,,,no,ENSG00000134202,Glutathione S-transferase Mu 3,Cytoplasm,epithelial cell of lung;epithelial cell of alveolus of lung;pneumocyte;type II pneumocyte;pancreatic D cell;sperm;lung secretory cell,,9.652,9.66,9.66,110545,112878,0.001,curated,reactive_oxygen_species,False
GSTO1,,,no,ENSG00000148834,Glutathione S-transferase omega-1 (GSTO-1),Cytoplasm,microfold cell of epithelium of small intestine;pancreatic stellate cell;fibroblast of breast,,14.621,16.509,16.509,167450,192907,0.175,curated,reactive_oxygen_species,False
HHEX,,,no,ENSG00000152804,Hematopoietically-expressed homeobox protein HHEX (Homeobox protein HEX) (Homeobox protein PRH),Nucleus,pancreatic endocrine cell;pancreatic D cell;hematopoietic multipotent progenitor cell;early T lineage precursor,,5.171,4.815,5.171,59224,56258,-0.103,curated,reactive_oxygen_species,False
HPGDS,,,no,ENSG00000163106,Hematopoietic prostaglandin D synthase (H-PGDS),Cytoplasm,"pancreatic ductal cell;brush cell;intestinal tuft cell;tuft cell of colon;Hofbauer cell;granulocyte;basophil;eosinophil;mast cell;group 2 innate lymphoid cell;megakaryocyte-erythroid progenitor cell;erythroid progenitor cell, mammalian;basophil mast progenitor cell;hematopoietic multipotent progenitor cell",,0.362,0.298,0.362,4150,3479,-0.283,curated,reactive_oxygen_species,False
IDH1,,,no,ENSG00000138413,Isocitrate dehydrogenase [NADP] cytoplasmic (IDH) (IDH1),Cytoplasm,urothelial cell;bladder urothelial cell;respiratory epithelial cell;epithelial cell of lower respiratory tract;placental villous trophoblast;bladder cell,,4.745,4.191,4.745,54348,48968,-0.179,curated,reactive_oxygen_species,False
IDH2,,,no,ENSG00000182054,"Isocitrate dehydrogenase [NADP], mitochondrial (IDH)",Mitochondrion,placental villous trophoblast;primitive red blood cell;pre-conventional dendritic cell;pro-T cell,,22.849,20.881,22.849,261684,243988,-0.13,curated,reactive_oxygen_species,False
MPO,,,no,ENSG00000005381,Myeloperoxidase (MPO),Lysosome,bone marrow cell;granulocyte monocyte progenitor cell;granulocyte;neutrophil;immature neutrophil;promonocyte;promyelocyte;common dendritic progenitor;macrophage dendritic cell progenitor;basophil mast progenitor cell;myelocyte;hematopoietic precursor cell;hematopoietic multipotent progenitor cell;early lymphoid progenitor;lymphoid lineage restricted progenitor cell;pro-T cell;early T lineage precursor;myeloid lineage restricted progenitor cell;granulocytopoietic cell;common myeloid progenitor;common lymphoid progenitor,,0.063,0.073,0.073,717,852,0.22,curated,reactive_oxygen_species,False
NQO1,,,no,ENSG00000181019,NAD(P)H dehydrogenase [quinone] 1,Cytoplasm,multi-ciliated epithelial cell;ciliated columnar cell of tracheobronchial tree;ciliated cell of the bronchus;corneal epithelial cell;paneth cell of epithelium of small intestine;conjunctival epithelial cell,,0.903,1.089,1.089,10338,12730,0.271,curated,reactive_oxygen_species,False
OXSR1,,,no,ENSG00000172939,Serine/threonine-protein kinase OSR1,Cytoplasm,,,5.337,5.314,5.337,61128,62096,-0.006,curated,reactive_oxygen_species,True
PFKP,,,no,ENSG00000067057,"ATP-dependent 6-phosphofructokinase, platelet type (ATP-PFK) (PFK-P)",Cytoplasm,corneal endothelial cell,,4.257,4.483,4.483,48752,52378,0.075,curated,reactive_oxygen_species,False
PGD,,,no,ENSG00000142657,"6-phosphogluconate dehydrogenase, decarboxylating",Cytoplasm,hematopoietic cell;blood cell;granulocyte;eosinophil,,7.846,7.913,7.913,89863,92465,0.012,curated,reactive_oxygen_species,False
PRNP,,,no,ENSG00000171867,Major prion protein (PrP) (ASCR) (PrP27-30) (PrP33-35C) (CD antigen CD230),Cell membrane,pancreatic D cell,ADGRG,10.654,8.002,10.654,122021,93501,-0.413,curated,reactive_oxygen_species,False
PTPA,,,no,ENSG00000119383,Serine/threonine-protein phosphatase 2A activator,Cytoplasm,,,7.595,8.41,8.41,86984,98271,0.147,curated,reactive_oxygen_species,True
RRM1,,,no,ENSG00000167325,Ribonucleoside-diphosphate reductase large subunit,Cytoplasm,large pre-B-II cell;fraction A pre-pro B cell,,5.861,6.411,6.411,67123,74915,0.13,curated,reactive_oxygen_species,False
RRM2,,,no,ENSG00000171848,Ribonucleoside-diphosphate reductase subunit M2,Cytoplasm,"immature alpha-beta T cell;double-positive, alpha-beta thymocyte;T-helper 17 cell;activated CD4-positive, alpha-beta T cell;precursor B cell;pro-B cell;fraction A pre-pro B cell",,0.617,0.402,0.617,7069,4694,-0.62,curated,reactive_oxygen_species,False
SBNO2,,,no,ENSG00000064932,Protein strawberry notch homolog 2,,,,1.517,1.7,1.7,17376,19869,0.165,curated,reactive_oxygen_species,True
SCAF4,,,no,ENSG00000156304,"SR-related and CTD-associated factor 4 (CTD-binding SR-like protein RA4) (Splicing factor, arginine/serine-rich 15)",Nucleus,,,6.55,7.138,7.138,75022,83401,0.124,curated,reactive_oxygen_species,True
SOD1,,,no,ENSG00000142168,Superoxide dismutase [Cu-Zn],Cytoplasm,,,19.873,17.571,19.873,227600,205312,-0.178,curated,reactive_oxygen_species,True
TXNRD1,,,no,ENSG00000198431,"Thioredoxin reductase 1, cytoplasmic (TR)",Cytoplasm,epithelial cell of lacrimal sac;myoepithelial cell;myoepithelial cell of mammary gland;basal cell of prostate epithelium;conjunctival epithelial cell;preadipocyte;brown preadipocyte;brown fat cell,,5.585,5.658,5.658,63960,66111,0.019,curated,reactive_oxygen_species,False
