subpanel,n_genes,n_detect_ge_1pct,n_detect_ge_5pct,n_detect_ge_10pct,median_det_max
01_thymic_epithelial_cortical,49,40,16,2,3.28
02_thymic_epithelial_medullary,52,39,12,2,1.659
03_hassall_keratinized,5,3,2,1,4.487
04_thymic_specialized_TEC,152,58,12,3,0.464
05_thymic_myoid,3,2,0,0,1.114
06_thymocyte_DN,163,107,45,20,2.649
07_thymocyte_DP,61,36,17,9,2.459
08_thymocyte_SP,230,146,60,23,2.014
09_thymic_treg,83,69,31,11,3.302
10_TCR_VDJ_machinery,15,6,4,3,0.883
11_positive_negative_selection,22,17,9,3,3.406
12_thymic_DC_myeloid,470,334,113,37,2.302
13_thymic_B_plasma,343,221,68,21,1.77
14_thymic_NK_ILC,209,138,53,19,1.936
15_thymic_stroma_fibroblast,400,173,35,11,0.734
16_thymic_endothelial_pericyte,549,265,60,20,0.948
17_notch_il7_signaling,27,17,8,2,1.641
18_crosstalk_RANKL_LTBR,27,17,4,1,1.456
19_AIRE_TRA_program,7,2,1,0,0.442
20_thymic_egress_S1P,8,7,1,0,2.979
21_HALLMARK_mTORC1_Signaling,94,74,23,5,2.261
22_HALLMARK_p53_Pathway,92,67,16,5,2.37
23_HALLMARK_Apoptosis,105,72,33,16,2.214
24_HALLMARK_Hypoxia,98,58,21,9,1.761
25_HALLMARK_PI3K_AKT_mTOR_Signaling,68,56,23,9,2.958
26_HALLMARK_Interferon_Gamma_Response,120,102,35,13,2.929
27_HALLMARK_TNF_alpha_Signaling_via_NF_kB,115,68,22,8,1.595
28_HALLMARK_IL_2_STAT5_Signaling,125,86,19,5,1.916
29_REACTOME_Immune_System_R_HSA_168256,829,553,206,71,1.935
30_REACTOME_Innate_Immune_System_R_HSA_168249,418,304,116,38,2.456
31_REACTOME_Cytokine_Signaling_In_Immune_System_R_HSA_1280215,417,287,108,40,2.109
32_REACTOME_GPCR_Downstream_Signaling_R_HSA_388396,301,93,28,9,0.317
33_REACTOME_Cell_Cycle_R_HSA_1640170,209,152,58,14,2.536
34_REACTOME_Adaptive_Immune_System_R_HSA_1280218,293,212,86,24,2.693
35_REACTOME_Signaling_By_Interleukins_R_HSA_449147,286,192,75,26,1.976
36_REACTOME_Transcriptional_Regulation_By_TP53_R_HSA_3700989,144,113,38,11,2.503
37_REACTOME_Cell_Cycle_Mitotic_R_HSA_69278,164,119,46,10,2.515
38_REACTOME_Deubiquitination_R_HSA_5688426,98,77,35,7,3.111
39_REACTOME_MAPK_Family_Signaling_Cascades_R_HSA_5683057,135,88,36,7,2.651
40_REACTOME_Class_I_MHC_Mediated_Antigen_Processing_And_Presentation_R_H,99,81,29,5,3.349
41_KEGG_PI3K_Akt_signaling_pathway,213,131,40,10,1.494
42_KEGG_MAPK_signaling_pathway,180,113,33,7,1.751
43_KEGG_Cytokine_cytokine_receptor_interaction,232,81,17,7,0.358
44_KEGG_Chemokine_signaling_pathway,128,88,35,12,2.602
45_KEGG_JAK_STAT_signaling_pathway,128,68,28,9,1.258
46_KEGG_Apoptosis,97,78,17,3,2.394
47_KEGG_mTOR_signaling_pathway,77,57,17,4,2.394
48_KEGG_Ubiquitin_mediated_proteolysis,62,53,13,0,3.613
49_KEGG_Cell_cycle,79,55,21,4,1.813
99_uncategorized,3216,1736,408,100,1.179
99c_residual_after_pathway_pass,2244,1159,226,57,1.069
99d_truly_unannotated,1134,592,80,16,1.072
